chr	res	node	FDR	emp.pval
chr5	5kb	5kb_2_1_55560000_55565000	0.01	9.99990000099999e-6
chr5	5kb	5kb_2_1_162990000_162995000	0.01	1.4999850001499e-4
chr5	5kb	5kb_2_1_35920000_35925000	0.01	9.99990000099999e-6
chr6	500kb	500kb_11_55_13000000_18000000	0.01	8.2999170008299e-4
chr6	100kb	100kb_22_231_16300000_18400000	NA	0.03647963520364796
chr6	10kb	10kb_17_136_16760000_16940000	0.01	0.00714992850071499
chr6	10kb	10kb_7_21_16760000_16820000	0.01	7.999920000799993e-5
chr6	5kb	5kb_5_10_16760000_16780000	0.01	2.999970000299997e-5
chr6	5kb	5kb_2_1_16760000_16765000	0.01	9.99990000099999e-6
chr7	50kb	50kb_7_21_95300000_95600000	0.01	0.00117998820011799
chr7	50kb	50kb_4_6_95300000_95450000	0.01	3.0999690003099e-4
chr7	10kb	10kb_5_10_95300000_95340000	0.01	2.4999750002499e-4
chr7	5kb	5kb_2_1_95310000_95315000	0.01	9.99990000099999e-6
chr8	500kb	500kb_13_78_95500000_104000000	0.01	9.99990000099999e-6
chr8	10kb	10kb_5_10_66650000_66940000	0.01	2.8999710002899e-4
chr8	5kb	5kb_4_6_103650000_103825000	0.01	9.99990000099999e-5
chr8	5kb	5kb_2_1_103820000_103825000	0.01	1.999980000199998e-5
chr8	5kb	5kb_4_6_66680000_66945000	0.01	6.999930000699993e-5
chr8	5kb	5kb_2_1_66940000_66945000	0.01	9.99990000099999e-6
chr8	5kb	5kb_2_1_143370000_143375000	0.01	1.6999830001699e-4
chr9	1Mb	1Mb_6_15_136000000_141000000	0.01	9.99990000099999e-6
chr9	1Mb	1Mb_4_6_136000000_139000000	0.01	9.99990000099999e-6
chr9	100kb	100kb_10_45_136000000_136900000	0.01	9.99990000099999e-6
chr9	50kb	50kb_4_6_126800000_126950000	0.01	6.999930000699993e-5
chr9	10kb	10kb_8_28_126800000_126880000	0.01	2.4999750002499e-4
chr9	10kb	10kb_4_6_126800000_126840000	0.01	9.6999030009699e-4
chr9	10kb	10kb_4_6_136030000_136060000	0.01	6.4999350006499e-4
chr9	5kb	5kb_4_6_126800000_126815000	0.01	6.999930000699993e-5
chr9	5kb	5kb_3_3_136055000_136065000	0.01	9.99990000099999e-6
